OD,Dia.,Lg. Max,Min.,Max.,"Rate, lbs./mm",Rate N/mm,Material,Pkg. Qty.,Part Number,Pkg.,Lg.
3,0.63,11.55,1.48,4.9,2.27,10.09746307,302 Stainless Steel,2,1942N015,14.03,14.00
2,0.25,19.53,0.06,0.76,0.073,0.324720178,316 Stainless Steel,3,1942N43,16.97,16.00
3,0.3,20.52,0.08,0.84,0.072,0.320271956,316 Stainless Steel,3,1942N47,17.01,17.00
4,0.3,23.39,0.06,0.61,0.041,0.182377086,316 Stainless Steel,3,1942N51,16.97,16.00
2,0.25,25.83,0.06,0.76,0.052,0.231307524,316 Stainless Steel,3,1942N44,17,16.00
3,0.3,29.13,0.08,0.84,0.046,0.204618194,316 Stainless Steel,3,1942N48,17.08,17.00
3.5,0.5,19.41,0.45,2.25,0.28,1.245502052,302 Stainless Steel,2,1942N023,12.65,12.00
4,0.3,34.57,0.06,0.61,0.025,0.11120554,316 Stainless Steel,3,1942N52,17.07,17.00
5.5,0.5,25.8,0.18,1.46,0.1,0.444822162,302 Stainless Steel,2,1942N083,12.65,12.00
3,0.63,16.46,1.48,4.9,1.41,6.271992478,302 Stainless Steel,2,1942N016,12.95,12.00
2,0.25,32.16,0.06,0.76,0.04,0.177928865,316 Stainless Steel,3,1942N45,17.01,17.00
3,0.3,37.74,0.08,0.84,0.033,0.146791313,316 Stainless Steel,3,1942N49,17.11,17.00
4,0.3,48.49,0.06,0.61,0.016,0.071171546,316 Stainless Steel,3,1942N53,17.21,17.00
5.5,0.8,21.4,1.21,5.67,0.75,3.336166211,302 Stainless Steel,2,1942N092,11.88,11.00
5,1,19.05,3.4,11.38,2.98,13.25570041,302 Stainless Steel,2,1942N076,13.28,13.00
4.5,0.63,24.94,0.7,3.42,0.32,1.423430917,302 Stainless Steel,2,1942N054,12.65,12.00
3.5,0.5,27.8,0.45,2.25,0.18,0.800679891,302 Stainless Steel,2,1942N024,11.88,11.00
2,0.25,38.48,0.06,0.76,0.033,0.146791313,316 Stainless Steel,3,1942N46,17.09,17.00
3,0.3,46.33,0.08,0.84,0.026,0.115653762,316 Stainless Steel,3,1942N5,17.31,17.00
4,0.3,62.41,0.06,0.61,0.012,0.053378659,316 Stainless Steel,3,1942N54,17.49,17.00
4,0.3,76.33,0.06,0.61,0.009,0.040033995,316 Stainless Steel,3,1942N55,17.7,17.00
5.5,0.5,52.9,0.18,1.46,0.04,0.177928865,302 Stainless Steel,2,1942N085,11.88,11.00
9,0.8,42,0.45,3.55,0.14,0.622751026,302 Stainless Steel,2,1942N491,12.65,12.00
3.5,0.7,27.5,1.66,5.76,0.83,3.692023941,302 Stainless Steel,2,1942N041,11.68,11.00
6,0.55,57.2,0.23,1.78,0.04,0.177928865,302 Stainless Steel,2,1942N402,11.88,11.00
6.3,0.9,34.4,1.48,6.95,0.5,2.224110808,302 Stainless Steel,2,1942N418,13.45,13.00
3.5,0.5,41.8,0.45,2.25,0.11,0.489304378,302 Stainless Steel,2,1942N025,12.65,12.00
7,1,38.1,1.84,8.48,0.55,2.446521888,302 Stainless Steel,2,1942N437,12.95,12.00
8,1.6,30.18,8.72,27.34,4.76,21.17353489,302 Stainless Steel,2,1942N473,15.05,15.00
6,0.55,86.6,0.23,1.78,0.03,0.133446648,302 Stainless Steel,2,1942N403,11.68,11.00
6.3,0.9,49.2,1.48,6.95,0.32,1.423430917,302 Stainless Steel,2,1942N419,13.78,13.00
7,1,54.4,1.84,8.48,0.34,1.512395349,302 Stainless Steel,2,1942N438,12.95,12.00
10,0.9,94.1,0.56,4.5,0.07,0.311375513,302 Stainless Steel,2,1942N511,14.32,14.00
14,2,52.7,7.35,30.71,1.76,7.828870043,302 Stainless Steel,1,1942N595,11.48,11.00
11,1,102.3,0.72,5.55,0.08,0.355857729,302 Stainless Steel,2,1942N538,13.8,13.00
8.5,1.2,65.6,2.59,11.76,0.41,1.823770862,302 Stainless Steel,2,1942N483,17.23,17.00
4.5,0.63,71.9,0.7,3.42,0.09,0.400339945,302 Stainless Steel,2,1942N057,11.78,11.00
15,1.4,93.3,1.51,10.7,0.18,0.800679891,302 Stainless Steel,2,1942N61,14.78,14.00
9,0.8,130.2,0.45,3.55,0.04,0.177928865,302 Stainless Steel,2,1942N494,11.88,11.00
13,1.2,118,1.08,7.91,0.1,0.444822162,302 Stainless Steel,2,1942N581,15.05,15.00
7,1,81.7,1.84,8.48,0.22,0.978608755,302 Stainless Steel,2,1942N439,13.2,13.00
10,0.9,142.2,0.56,4.5,0.04,0.177928865,302 Stainless Steel,2,1942N512,13.45,13.00
14,2,73.6,7.35,30.71,1.1,4.893043777,302 Stainless Steel,1,1942N596,11.48,11.00
5.5,0.5,163.34,0.18,1.46,0.01,0.044482216,302 Stainless Steel,2,1942N088,11.78,11.00
7.5,1.1,86.8,2.34,10.39,0.27,1.201019836,302 Stainless Steel,2,1942N467,13.2,13.00
11,1.6,83.4,4.88,20.8,0.6,2.668932969,302 Stainless Steel,2,1942N548,$14.78 ,14.00
15,2.2,78.1,9.35,37.07,1.33,5.916134748,302 Stainless Steel,1,1942N618,11.1,11.00
13,2.5,67.8,19.83,59.37,4.03,17.92633311,302 Stainless Steel,1,1942N589,13.6,13.00
15,1.4,134,1.51,10.7,0.12,0.533786594,302 Stainless Steel,2,1942N611,15.1,15.00
3.5,0.5,103.81,0.45,2.25,0.04,0.177928865,302 Stainless Steel,2,1942N028,12.2,12.00
10,2,76.3,13.62,41.21,2.4,10.67573188,302 Stainless Steel,1,1942N531,12.15,12.00
22,2,134.3,2.88,20.03,0.24,1.067573188,302 Stainless Steel,1,1942N67,11.63,11.00
20,4,73.3,54.45,141.77,11.91,52.97831944,302 Stainless Steel,1,1942N664,15.35,15.00
14,2,104.9,7.35,30.71,0.71,3.158237347,302 Stainless Steel,1,1942N597,12,13.00
5.5,0.5,228.88,0.18,1.46,0.01,0.044482216,302 Stainless Steel,2,1942N089,12.1,12.00
20,1.8,178,2.29,16.3,0.13,0.57826881,302 Stainless Steel,1,1942N653,8.8,8.00
9,1.8,90.16,11.04,33.7,1.54,6.850261288,302 Stainless Steel,2,1942N504,14.9,14.00
11,1,224.4,0.72,5.55,0.03,0.133446648,302 Stainless Steel,2,1942N541,12.97,12.00
15,1.4,201.9,1.51,10.7,0.07,0.311375513,302 Stainless Steel,2,1942N612,14.78,14.00
25,5,90.9,85.09,207.86,14.89,66.23401985,302 Stainless Steel,1,1942N699,11.53,11.00
12,1.1,241.8,0.9,6.7,0.04,0.177928865,302 Stainless Steel,2,1942N566,15.8,15.00
10,2,99.84,13.62,41.21,1.71,7.606458962,302 Stainless Steel,1,1942N532,11.68,11.00
18,2.5,133.1,10.88,44.38,0.8,3.558577292,302 Stainless Steel,1,1942N64,14.75,14.00
5,0.7,151.27,0.88,4.23,0.05,0.222411081,302 Stainless Steel,2,1942N074,11.97,11.00
20,4,103.4,54.45,141.77,7.43,33.0502866,302 Stainless Steel,1,1942N665,15.35,15.00
24,2.2,206.6,3.55,23.79,0.17,0.756197675,302 Stainless Steel,1,1942N689,11.53,11.00
5.5,0.5,316.26,0.18,1.46,0.01,0.044482216,302 Stainless Steel,2,1942N09,12.2,12.00
20,2.8,146.4,13.87,54.88,0.92,4.092363886,302 Stainless Steel,1,1942N66,13.02,13.00
7.5,0.7,300.07,0.38,2.88,0.01,0.044482216,302 Stainless Steel,2,1942N461,13.18,13.00
14,2,157,7.35,30.71,0.44,1.957217511,302 Stainless Steel,1,1942N598,11.83,11.00
28,4,140.7,29.41,105.62,2.21,9.83056977,302 Stainless Steel,1,1942N711,15.72,15.00
15,1.4,292,1.51,10.7,0.05,0.222411081,302 Stainless Steel,1,1942N613,10.03,10.00
25,5,128,85.09,207.86,9.31,41.41294324,302 Stainless Steel,1,1942N7,13.3,13.00
50,4.5,201.4,14.28,84.46,0.83,3.692023941,302 Stainless Steel,1,1942N745,23.58,23.00
10,1.4,207.25,3.46,15.65,0.15,0.667233242,302 Stainless Steel,1,1942N524,8.57,8.00
16,3.2,155.96,34.85,95.5,2.74,12.18812723,302 Stainless Steel,1,1942N627,15.25,15.00
22,2,419,2.88,20.03,0.06,0.266893297,302 Stainless Steel,1,1942N673,13.3,13.00
